1640241929.9824173,"21077,21241,21041"
1640241930.8575628,"21192,21231,20900"
1640241931.732223,"21296,21237,20851"
1640241932.6068873,"21153,21324,20929"
1640241933.4814198,"21144,21285,21048"
1640241934.3570197,"21166,21209,20910"
1640241935.2309885,"21271,21244,20875"
1640241936.1066647,"21203,21293,20892"
1640241936.9821749,"21101,21315,20990"
1640241937.8561137,"21119,21251,21023"
1640241974.604013,"22650,22838,22556"
1640241975.4791393,"22746,22830,22491"
1640241976.3538957,"22824,22848,22418"
1640241977.22858,"22733,22908,22485"
1640241978.1029787,"22664,22837,22591"
1640241978.978496,"22778,22832,22512"
1640241979.8531601,"22861,22834,22454"
1640241980.7278707,"22755,22899,22452"
1640241981.6035366,"22637,22834,22550"
1640241982.4785218,"22741,22778,22482"
